fill	x	y	group	xmin	xmax	ymin	ymax
#000000	0	139	1	-0.5	0.5	138.5	139.5
#000000	1	139	1	0.5	1.5	138.5	139.5
#000000	2	139	1	1.5	2.5	138.5	139.5
#050505	3	139	6	2.5	3.5	138.5	139.5
#050505	4	139	6	3.5	4.5	138.5	139.5
#040404	5	139	5	4.5	5.5	138.5	139.5
#040404	6	139	5	5.5	6.5	138.5	139.5
#040404	7	139	5	6.5	7.5	138.5	139.5
#040404	8	139	5	7.5	8.5	138.5	139.5
#040404	9	139	5	8.5	9.5	138.5	139.5
#040404	10	139	5	9.5	10.5	138.5	139.5
#040404	11	139	5	10.5	11.5	138.5	139.5
#040404	12	139	5	11.5	12.5	138.5	139.5
#040404	13	139	5	12.5	13.5	138.5	139.5
#040404	14	139	5	13.5	14.5	138.5	139.5
#040404	15	139	5	14.5	15.5	138.5	139.5
#030303	16	139	4	15.5	16.5	138.5	139.5
#030303	17	139	4	16.5	17.5	138.5	139.5
#030303	18	139	4	17.5	18.5	138.5	139.5
#030303	19	139	4	18.5	19.5	138.5	139.5
#030303	20	139	4	19.5	20.5	138.5	139.5
#030303	21	139	4	20.5	21.5	138.5	139.5
#030303	22	139	4	21.5	22.5	138.5	139.5
#030303	23	139	4	22.5	23.5	138.5	139.5
#030303	24	139	4	23.5	24.5	138.5	139.5
#030303	25	139	4	24.5	25.5	138.5	139.5
#030303	26	139	4	25.5	26.5	138.5	139.5
#030303	27	139	4	26.5	27.5	138.5	139.5
#030303	28	139	4	27.5	28.5	138.5	139.5
#030303	29	139	4	28.5	29.5	138.5	139.5
#030303	30	139	4	29.5	30.5	138.5	139.5
#020202	31	139	3	30.5	31.5	138.5	139.5
#020202	32	139	3	31.5	32.5	138.5	139.5
#020202	33	139	3	32.5	33.5	138.5	139.5
#020202	34	139	3	33.5	34.5	138.5	139.5
#020202	35	139	3	34.5	35.5	138.5	139.5
#020202	36	139	3	35.5	36.5	138.5	139.5
#020202	37	139	3	36.5	37.5	138.5	139.5
#020202	38	139	3	37.5	38.5	138.5	139.5
#020202	39	139	3	38.5	39.5	138.5	139.5
#020202	40	139	3	39.5	40.5	138.5	139.5
#020202	41	139	3	40.5	41.5	138.5	139.5
#020202	42	139	3	41.5	42.5	138.5	139.5
#020202	43	139	3	42.5	43.5	138.5	139.5
#020202	44	139	3	43.5	44.5	138.5	139.5
#030303	45	139	4	44.5	45.5	138.5	139.5
#040404	46	139	5	45.5	46.5	138.5	139.5
#050505	47	139	6	46.5	47.5	138.5	139.5
#070707	48	139	8	47.5	48.5	138.5	139.5
#0A0A0A	49	139	11	48.5	49.5	138.5	139.5
#101010	50	139	17	49.5	50.5	138.5	139.5
#1C1C1C	51	139	29	50.5	51.5	138.5	139.5
#262626	52	139	39	51.5	52.5	138.5	139.5
#2E2E2E	53	139	47	52.5	53.5	138.5	139.5
#363636	54	139	55	53.5	54.5	138.5	139.5
#3B3B3B	55	139	60	54.5	55.5	138.5	139.5
#3E3E3E	56	139	63	55.5	56.5	138.5	139.5
#434343	57	139	68	56.5	57.5	138.5	139.5
#454545	58	139	70	57.5	58.5	138.5	139.5
#474747	59	139	72	58.5	59.5	138.5	139.5
#4D4D4D	60	139	78	59.5	60.5	138.5	139.5
#525252	61	139	83	60.5	61.5	138.5	139.5
#535353	62	139	84	61.5	62.5	138.5	139.5
#5A5A5A	63	139	91	62.5	63.5	138.5	139.5
#656565	64	139	102	63.5	64.5	138.5	139.5
#6A6A6A	65	139	107	64.5	65.5	138.5	139.5
#747474	66	139	117	65.5	66.5	138.5	139.5
#797979	67	139	122	66.5	67.5	138.5	139.5
#6E6E6E	68	139	111	67.5	68.5	138.5	139.5
#636363	69	139	100	68.5	69.5	138.5	139.5
#626262	70	139	99	69.5	70.5	138.5	139.5
#646464	71	139	101	70.5	71.5	138.5	139.5
#717171	72	139	114	71.5	72.5	138.5	139.5
#777777	73	139	120	72.5	73.5	138.5	139.5
#757575	74	139	118	73.5	74.5	138.5	139.5
#767676	75	139	119	74.5	75.5	138.5	139.5
#787878	76	139	121	75.5	76.5	138.5	139.5
#7C7C7C	77	139	125	76.5	77.5	138.5	139.5
#797979	78	139	122	77.5	78.5	138.5	139.5
#717171	79	139	114	78.5	79.5	138.5	139.5
#6B6B6B	80	139	108	79.5	80.5	138.5	139.5
#656565	81	139	102	80.5	81.5	138.5	139.5
#5C5C5C	82	139	93	81.5	82.5	138.5	139.5
#595959	83	139	90	82.5	83.5	138.5	139.5
#575757	84	139	88	83.5	84.5	138.5	139.5
#545454	85	139	85	84.5	85.5	138.5	139.5
#525252	86	139	83	85.5	86.5	138.5	139.5
#4F4F4F	87	139	80	86.5	87.5	138.5	139.5
#4B4B4B	88	139	76	87.5	88.5	138.5	139.5
#474747	89	139	72	88.5	89.5	138.5	139.5
#414141	90	139	66	89.5	90.5	138.5	139.5
#3A3A3A	91	139	59	90.5	91.5	138.5	139.5
#2D2D2D	92	139	46	91.5	92.5	138.5	139.5
#232323	93	139	36	92.5	93.5	138.5	139.5
#1B1B1B	94	139	28	93.5	94.5	138.5	139.5
#161616	95	139	23	94.5	95.5	138.5	139.5
#141414	96	139	21	95.5	96.5	138.5	139.5
#101010	97	139	17	96.5	97.5	138.5	139.5
#0C0C0C	98	139	13	97.5	98.5	138.5	139.5
#080808	99	139	9	98.5	99.5	138.5	139.5
#040404	100	139	5	99.5	100.5	138.5	139.5
#020202	101	139	3	100.5	101.5	138.5	139.5
#020202	102	139	3	101.5	102.5	138.5	139.5
#020202	103	139	3	102.5	103.5	138.5	139.5
#020202	104	139	3	103.5	104.5	138.5	139.5
#020202	105	139	3	104.5	105.5	138.5	139.5
#020202	106	139	3	105.5	106.5	138.5	139.5
#020202	107	139	3	106.5	107.5	138.5	139.5
#020202	108	139	3	107.5	108.5	138.5	139.5
#020202	109	139	3	108.5	109.5	138.5	139.5
#020202	110	139	3	109.5	110.5	138.5	139.5
#020202	111	139	3	110.5	111.5	138.5	139.5
#020202	112	139	3	111.5	112.5	138.5	139.5
#020202	113	139	3	112.5	113.5	138.5	139.5
#020202	114	139	3	113.5	114.5	138.5	139.5
#020202	115	139	3	114.5	115.5	138.5	139.5
#020202	116	139	3	115.5	116.5	138.5	139.5
#020202	117	139	3	116.5	117.5	138.5	139.5
#020202	118	139	3	117.5	118.5	138.5	139.5
#030303	119	139	4	118.5	119.5	138.5	139.5
#030303	120	139	4	119.5	120.5	138.5	139.5
#030303	121	139	4	120.5	121.5	138.5	139.5
#040404	122	139	5	121.5	122.5	138.5	139.5
#040404	123	139	5	122.5	123.5	138.5	139.5
#040404	124	139	5	123.5	124.5	138.5	139.5
#040404	125	139	5	124.5	125.5	138.5	139.5
#040404	126	139	5	125.5	126.5	138.5	139.5
#040404	127	139	5	126.5	127.5	138.5	139.5
#040404	128	139	5	127.5	128.5	138.5	139.5
#040404	129	139	5	128.5	129.5	138.5	139.5
#040404	130	139	5	129.5	130.5	138.5	139.5
#040404	131	139	5	130.5	131.5	138.5	139.5
#040404	132	139	5	131.5	132.5	138.5	139.5
#040404	133	139	5	132.5	133.5	138.5	139.5
#050505	134	139	6	133.5	134.5	138.5	139.5
#050505	135	139	6	134.5	135.5	138.5	139.5
#050505	136	139	6	135.5	136.5	138.5	139.5
#050505	137	139	6	136.5	137.5	138.5	139.5
#050505	138	139	6	137.5	138.5	138.5	139.5
#080808	139	139	9	138.5	139.5	138.5	139.5
#000000	0	138	1	-0.5	0.5	137.5	138.5
#000000	1	138	1	0.5	1.5	137.5	138.5
#000000	2	138	1	1.5	2.5	137.5	138.5
#060606	3	138	7	2.5	3.5	137.5	138.5
#060606	4	138	7	3.5	4.5	137.5	138.5
#050505	5	138	6	4.5	5.5	137.5	138.5
#040404	6	138	5	5.5	6.5	137.5	138.5
#040404	7	138	5	6.5	7.5	137.5	138.5
#040404	8	138	5	7.5	8.5	137.5	138.5
#040404	9	138	5	8.5	9.5	137.5	138.5
#040404	10	138	5	9.5	10.5	137.5	138.5
#040404	11	138	5	10.5	11.5	137.5	138.5
#040404	12	138	5	11.5	12.5	137.5	138.5
#040404	13	138	5	12.5	13.5	137.5	138.5
#040404	14	138	5	13.5	14.5	137.5	138.5
#040404	15	138	5	14.5	15.5	137.5	138.5
#040404	16	138	5	15.5	16.5	137.5	138.5
#040404	17	138	5	16.5	17.5	137.5	138.5
#040404	18	138	5	17.5	18.5	137.5	138.5
#040404	19	138	5	18.5	19.5	137.5	138.5
#040404	20	138	5	19.5	20.5	137.5	138.5
#030303	21	138	4	20.5	21.5	137.5	138.5
#040404	22	138	5	21.5	22.5	137.5	138.5
#030303	23	138	4	22.5	23.5	137.5	138.5
#040404	24	138	5	23.5	24.5	137.5	138.5
#030303	25	138	4	24.5	25.5	137.5	138.5
#030303	26	138	4	25.5	26.5	137.5	138.5
#030303	27	138	4	26.5	27.5	137.5	138.5
#030303	28	138	4	27.5	28.5	137.5	138.5
#030303	29	138	4	28.5	29.5	137.5	138.5
#030303	30	138	4	29.5	30.5	137.5	138.5
#030303	31	138	4	30.5	31.5	137.5	138.5
#030303	32	138	4	31.5	32.5	137.5	138.5
#030303	33	138	4	32.5	33.5	137.5	138.5
